3, 39
6, 33
8, 35
11, 34
13, 33
16, 35
18, 34
21, 31
23, 34
26, 32
28, 34
31, 35
33, 35
36, 32
38, 31
41, 36
43, 31
46, 34
48, 33
51, 33
53, 34
56, 36
58, 34
61, 38
63, 32
66, 30
68, 38
71, 32
73, 30
76, 35
78, 31
81, 32
83, 32
86, 35
88, 33
91, 36
93, 34
96, 34
98, 34
101, 34
103, 36
106, 35
108, 32
111, 33
113, 32
116, 34
118, 32
121, 33
123, 30
126, 35
128, 33
131, 36
133, 31
136, 34
138, 31
141, 34
143, 33
146, 31
148, 37
151, 34
153, 36
156, 30
158, 31
161, 34
163, 35
166, 34
168, 33
171, 36
173, 32
176, 33
178, 32
181, 34
183, 29
186, 30
188, 34
191, 32
193, 31
196, 36
198, 34
201, 31
203, 32
206, 34
208, 34
211, 35
213, 36
216, 34
218, 34
221, 34
223, 36
226, 35
228, 34
231, 36
233, 30
236, 32
239, 37
241, 32
244, 33
246, 35
249, 33
251, 37
254, 30
256, 31
259, 32
261, 33
264, 33
266, 32
269, 34
271, 35
274, 35
276, 34
279, 33
281, 35
284, 33
286, 32
289, 31
291, 35
294, 32
296, 33
299, 35
301, 33
304, 33
306, 34
309, 31
311, 34
314, 33
316, 32
319, 35
321, 33
324, 34
326, 34
329, 32
331, 32
334, 31
336, 35
339, 33
341, 37
344, 32
346, 33
349, 35
351, 35
354, 36
356, 35
359, 35
361, 33
364, 32
366, 34
369, 32
371, 33
374, 34
376, 33
379, 35
381, 34
384, 35
386, 31
389, 33
391, 34
394, 34
396, 34
399, 33
401, 35
404, 35
406, 32
409, 34
411, 33
414, 34
416, 35
419, 37
421, 34
424, 34
426, 33
429, 32
431, 34
434, 34
436, 33
439, 34
441, 34
444, 35
446, 34
449, 34
451, 35
454, 34
456, 36
459, 35
461, 33
464, 37
466, 34
469, 34
471, 35
474, 34
476, 34
479, 31
481, 33
484, 34
486, 34
489, 33
491, 34
494, 34
496, 34
499, 34
501, 35
504, 34
506, 34
509, 34
511, 34
514, 34
516, 34
519, 32
521, 34
524, 35
526, 34
529, 34
531, 32
534, 35
536, 35
539, 34
541, 34
544, 33
546, 32
549, 34
551, 34
554, 34
556, 36
559, 34
561, 33
564, 35
566, 34
569, 34
571, 33
574, 33
576, 34
